Datetime,Open,High,Low,Close,Volume
2025-11-24 18:06:00+00:00,275.575,275.638,275.55,275.57,75755
2025-11-24 18:07:00+00:00,275.57,275.68,275.55,275.65,177618
2025-11-24 18:08:00+00:00,275.6401,275.69,275.57,275.6581,62701
2025-11-24 18:09:00+00:00,275.65,275.75,275.56,275.56,73723
2025-11-24 18:10:00+00:00,275.55,275.68,275.53,275.66,46353
2025-11-24 18:11:00+00:00,275.6597,275.75,275.6597,275.72,98553
2025-11-24 18:12:00+00:00,275.71,275.95,275.7,275.945,169331
2025-11-24 18:13:00+00:00,275.94,276.26,275.91,276.25,301169
2025-11-24 18:14:00+00:00,276.2539,276.29,276.08,276.18,109837
2025-11-24 18:15:00+00:00,276.19,276.2021,275.94,275.9855,100635
2025-11-24 18:16:00+00:00,275.9885,276.08,275.94,275.94,79785
2025-11-24 18:17:00+00:00,275.94,276.03,275.78,275.99,117604
2025-11-24 18:18:00+00:00,275.98,276.16,275.92,276.08,74991
2025-11-24 18:19:00+00:00,276.09,276.1999,276.09,276.11,60681
2025-11-24 18:20:00+00:00,276.12,276.38,276.11,276.33,123980
2025-11-24 18:21:00+00:00,276.34,276.44,276.26,276.345,109981
2025-11-24 18:22:00+00:00,276.35,276.51,276.3,276.4,134548
2025-11-24 18:23:00+00:00,276.4,276.507,276.36,276.4171,85243
2025-11-24 18:24:00+00:00,276.42,276.5,276.16,276.22,99153
2025-11-24 18:25:00+00:00,276.205,276.205,275.9701,276.0202,113783
2025-11-24 18:26:00+00:00,276.03,276.2,276.03,276.16,68198
2025-11-24 18:27:00+00:00,276.1799,276.18,276.0,276.06,49332
2025-11-24 18:28:00+00:00,276.05,276.08,276.0,276.071,45255
2025-11-24 18:29:00+00:00,276.0601,276.25,276.0601,276.12,53378
2025-11-24 18:30:00+00:00,276.12,276.1322,275.85,275.9,86087
2025-11-24 18:31:00+00:00,275.89,276.17,275.89,276.1,58555
2025-11-24 18:32:00+00:00,276.1,276.15,276.03,276.125,40588
2025-11-24 18:33:00+00:00,276.12,276.17,275.9714,276.0265,63564
2025-11-24 18:34:00+00:00,276.02,276.11,275.975,276.11,58284
2025-11-24 18:35:00+00:00,276.07,276.1499,276.02,276.14,34586
2025-11-24 18:36:00+00:00,276.14,276.18,276.08,276.16,49904
2025-11-24 18:37:00+00:00,276.15,276.15,276.03,276.14,37232
2025-11-24 18:38:00+00:00,276.135,276.19,276.1025,276.135,90772
2025-11-24 18:39:00+00:00,276.12,276.15,276.04,276.1,48021
2025-11-24 18:40:00+00:00,276.09,276.09,276.0,276.02,123124
2025-11-24 18:41:00+00:00,276.02,276.23,276.01,276.17,63265
2025-11-24 18:42:00+00:00,276.16,276.18,276.0367,276.06,52300
2025-11-24 18:43:00+00:00,276.06,276.11,275.99,276.1,78499
2025-11-24 18:44:00+00:00,276.1001,276.37,276.06,276.3384,151317
2025-11-24 18:45:00+00:00,276.33,276.35,276.14,276.14,87856
2025-11-24 18:46:00+00:00,276.15,276.24,276.15,276.185,40589
2025-11-24 18:47:00+00:00,276.185,276.211,276.14,276.14,55593
2025-11-24 18:48:00+00:00,276.15,276.22,276.1401,276.175,35355
2025-11-24 18:49:00+00:00,276.17,276.22,276.08,276.1299,83704
2025-11-24 18:50:00+00:00,276.13,276.18,276.105,276.145,29586
2025-11-24 18:51:00+00:00,276.15,276.25,276.14,276.21,30509
2025-11-24 18:52:00+00:00,276.21,276.23,276.12,276.15,38918
2025-11-24 18:53:00+00:00,276.145,276.16,276.08,276.1465,34831
