Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-11-12 02:06:00+00:00,103222.984375,103222.984375,103222.984375,103222.984375,0
2025-11-12 02:07:00+00:00,103248.21875,103248.21875,103248.21875,103248.21875,0
2025-11-12 02:08:00+00:00,103217.1875,103217.1875,103217.1875,103217.1875,2473984
2025-11-12 02:09:00+00:00,103206.4609375,103206.4609375,103206.4609375,103206.4609375,0
2025-11-12 02:10:00+00:00,103270.5703125,103270.5703125,103270.5703125,103270.5703125,99762176
2025-11-12 02:11:00+00:00,103275.828125,103275.828125,103275.828125,103275.828125,0
2025-11-12 02:12:00+00:00,103264.6015625,103264.6015625,103264.6015625,103264.6015625,0
2025-11-12 02:13:00+00:00,103325.484375,103325.484375,103325.484375,103325.484375,0
2025-11-12 02:14:00+00:00,103298.7421875,103298.7421875,103298.7421875,103298.7421875,0
2025-11-12 02:15:00+00:00,103289.0078125,103289.0078125,103289.0078125,103289.0078125,0
2025-11-12 02:16:00+00:00,103291.640625,103291.640625,103291.640625,103291.640625,0
2025-11-12 02:17:00+00:00,103351.640625,103351.640625,103351.640625,103351.640625,764624896
2025-11-12 02:18:00+00:00,103336.9453125,103336.9453125,103336.9453125,103336.9453125,0
2025-11-12 02:19:00+00:00,103339.3515625,103339.3515625,103339.3515625,103339.3515625,0
2025-11-12 02:20:00+00:00,103331.6328125,103331.6328125,103331.6328125,103331.6328125,51920896
2025-11-12 02:22:00+00:00,103202.96875,103202.96875,103202.96875,103202.96875,0
2025-11-12 02:23:00+00:00,103303.09375,103303.09375,103303.09375,103303.09375,93147136
2025-11-12 02:24:00+00:00,103263.90625,103263.90625,103263.90625,103263.90625,0
2025-11-12 02:25:00+00:00,103313.296875,103313.296875,103313.296875,103313.296875,0
2025-11-12 02:26:00+00:00,103299.4921875,103299.4921875,103299.4921875,103299.4921875,0
2025-11-12 02:27:00+00:00,103274.0,103274.0,103274.0,103274.0,574455808
2025-11-12 02:28:00+00:00,103273.921875,103273.921875,103273.921875,103273.921875,1446834176
2025-11-12 02:29:00+00:00,103252.390625,103252.390625,103252.390625,103252.390625,2285568
2025-11-12 02:30:00+00:00,103257.0625,103257.0625,103257.0625,103257.0625,0
2025-11-12 02:31:00+00:00,103223.1796875,103223.1796875,103223.1796875,103223.1796875,0
2025-11-12 02:32:00+00:00,103152.4453125,103152.4453125,103152.4453125,103152.4453125,0
2025-11-12 02:33:00+00:00,102976.609375,102976.609375,102976.609375,102976.609375,91942912
